date,price,dix,gex
2011-05-02,1361.219971,0.3788420991568634,1897312571.486
2011-05-03,1356.619995,0.3834110799414632,1859730656.13
2011-05-04,1347.319946,0.3921217997918537,1717763844.535
2011-05-05,1335.099976,0.4054570196735625,1361864280.275
2011-05-06,1340.199951,0.4186486654525637,1490328625.98
2011-05-09,1346.290039,0.4103205027781488,1677058729.04
2011-05-10,1357.160034,0.3928514271714904,2034952130.69
2011-05-11,1342.079956,0.4008140977249443,1536770884.92
2011-05-12,1348.650024,0.3875339951676699,1674923266.095
2011-05-13,1337.77002,0.4055951917654673,1218149461.54
2011-05-16,1329.469971,0.389702743625763,779596412.269
2011-05-17,1328.97998,0.3947468322564728,841850592.0
2011-05-18,1340.680054,0.4023302249231638,1366160182.325
2011-05-19,1343.599976,0.3946342030319486,1543685364.78
2011-05-20,1333.27002,0.4132016164569771,1288076423.565
2011-05-23,1317.369995,0.4058465565335275,539696742.805
2011-05-24,1316.280029,0.3893803484962401,510244377.512
2011-05-25,1320.469971,0.397290689726496,740695062.903
2011-05-26,1325.689941,0.3976559763379473,794680724.93
2011-05-27,1331.099976,0.400935309915913,918664965.16
2011-05-31,1345.199951,0.4024774071359699,1501018826.775
2011-06-01,1314.550049,0.4415818154795479,765472910.6735
2011-06-02,1312.939941,0.4130699544074263,737054457.098
2011-06-03,1300.160034,0.4361097185889154,405956517.902
2011-06-06,1286.170044,0.4001471281500261,24119666.104
2011-06-07,1284.939941,0.4067739261627282,-172403089.14
2011-06-08,1279.560059,0.4045812401043901,-285916518.02
2011-06-09,1289.0,0.4144506947029147,-110999211.335
2011-06-10,1270.97998,0.4361255265327686,-459227978.2
2011-06-13,1271.829956,0.4088508603468689,-449818392.34
2011-06-14,1287.869995,0.426970319314135,97844618.176
2011-06-15,1265.420044,0.4302597484995706,-618829105.244
2011-06-16,1267.640015,0.3879749628199702,-643026779.91
2011-06-17,1271.5,0.4089676915491283,-444255510.62
2011-06-20,1278.359985,0.371377592250574,130641736.1
2011-06-21,1295.52002,0.4234861745377597,594237200.535
2011-06-22,1287.140015,0.4472098927635801,421966023.175
2011-06-23,1283.5,0.4461674181899256,673524372.871
2011-06-24,1268.449951,0.4474775675604366,197912878.19
2011-06-27,1280.099976,0.4229687257351265,533994908.78
2011-06-28,1296.670044,0.4346091542572899,1000303669.785
2011-06-29,1307.410034,0.4191406401143612,1263240916.7
2011-06-30,1320.640015,0.4119331097271801,1731119949.93
2011-07-01,1339.670044,0.4144370719455071,2019895206.727
2011-07-05,1337.880005,0.4182974912164665,2204693723.48
2011-07-06,1339.219971,0.4295129816588348,2236776776.815
2011-07-07,1353.219971,0.4161983588738248,2729301387.395
2011-07-08,1343.800049,0.4396265002513235,2490173790.3
2011-07-11,1319.48999,0.4276814368390468,1737340522.96
2011-07-12,1313.640015,0.4283881981527858,1533836324.39
2011-07-13,1317.719971,0.4280203404464783,1957650368.7
2011-07-14,1308.869995,0.4338029213495883,1650214262.91
2011-07-15,1316.140015,0.4263783522656185,4176336442.145
2011-07-18,1305.439941,0.4162475470547778,887183380.03
2011-07-19,1326.72998,0.4103451726889039,1304589932.604
2011-07-20,1325.839966,0.4396847355716439,1549113896.345
2011-07-21,1343.800049,0.4223263700386265,1763114024.43
2011-07-22,1345.02002,0.4451733236502198,1635847483.62
2011-07-25,1337.430054,0.4444887261593293,1594831932.2
2011-07-26,1331.939941,0.4215299335028764,1541061094.85
2011-07-27,1304.890015,0.418012198494477,839162001.791
2011-07-28,1300.670044,0.4085200010115528,727984032.625
2011-07-29,1292.280029,0.4036083698172441,634859900.982
2011-08-01,1286.939941,0.4403099342693885,645133919.365
2011-08-02,1254.050049,0.4413161626327892,54369376.39
2011-08-03,1260.339966,0.431168960706926,224930307.485
2011-08-04,1200.069946,0.4297023145255602,-660360325.525
2011-08-05,1199.380005,0.4213187218867013,-463212353.06
2011-08-08,1119.459961,0.4227911030136967,-802754541.06
2011-08-09,1172.530029,0.4195870836725282,-374593397.965
2011-08-10,1120.76001,0.4648570493031836,-759558784.65
2011-08-11,1172.640015,0.4278540963917878,-264886917.49
2011-08-12,1178.810059,0.4569903812569918,-309018593.5
2011-08-15,1204.48999,0.4646363795903064,-23047118.8
2011-08-16,1192.76001,0.4690793280135833,-225224022.635
2011-08-17,1193.890015,0.4822541510185895,-251705740.24
2011-08-18,1140.650024,0.462807641684515,-836496736.477
